Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Chad,TCD,2,5,7,17,24,30,30,33,35,42,51,39,46,54,62,69
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Germany,DEU,56,55,57,59,62,64,67,69,71,73,75,77,80,81,85,86
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Kenya,KEN,4,9,13,18,25,31,39,43,47,54,63,72,78,77,81,86
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Mexico,MEX,17,20,23,25,27,28,30,34,34,36,41,44,46,51,52,55
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,"Venezuela, RB",VEN,13,21,23,27,31,36,36,37,37,37,49,46,36,26,43,55
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Australia,AUS,500,500,200,200,500,500,200,200,100,100,100,100,100,100,100,100
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Chad,TCD,8300,7900,7100,6500,5000,4200,4000,4000,4000,4000,3800,3400,3100,3200,3300,3000
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Germany,DEU,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Kenya,KEN,110000,100000,86000,74000,62000,53000,46000,40000,37000,35000,33000,28000,25000,22000,20000,19000
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Mexico,MEX,6300,6700,6400,6300,6300,6400,6500,6400,5800,6000,5900,5000,4500,5000,4400,4300
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Switzerland,CHE,500,500,200,200,200,200,200,200,200,200,200,200,200,200,200,200
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,"Venezuela, RB",VEN,2200,2400,2100,2100,2200,2200,2200,2500,2800,3200,3400,2400,2600,3700,5500,4200
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Australia,AUS,99.4,99.3,99.2,99.1,99.1,99.1,99.1,99.2,99.3,99.7,99.7,97,96.7,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Canada,CAN,98.8,98.8,98.8,98.7,98.6,98.5,98.4,98.1,98,97.9,97.9,97.8,97.9,98,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Chad,TCD,..,..,..,..,..,16.6,..,..,..,..,24.3,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Germany,DEU,98.2,98.4,98.4,98.5,98.3,98.4,98.4,98.5,98.5,98.6,98.8,97.8,98.8,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kenya,KEN,..,..,..,..,43.8,..,..,..,..,61.8,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mexico,MEX,..,93.4,93.7,..,95.3,94.08,..,99.6,..,95.6,97.7,96.4,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Switzerland,CHE,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United States,USA,99.4,99.4,99.3,99.3,99.3,99.4,99.3,99.3,99.2,98.5,99.1,99.1,99.1,99.1,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Venezuela, RB",VEN,..,..,..,..,..,..,98.1,96,99.2,99.5,99.3,99.3,99.1,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Australia,AUS,5.73987436,5.72573614,5.88174677,5.97145414,6.25201321,6.10032845,6.25755644,6.18006754,5.93705511,6.10049677,6.38369751,6.33803082,6.36546087,6.29709959,7.10425138,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Canada,CAN,6.59905815,6.4866991,6.57271051,6.70117044,7.52118206,7.47694063,7.30276871,7.4011817,7.3582077,7.23180246,7.58065939,7.67784119,7.56277943,7.58277988,7.60929585,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Chad,TCD,1.42997229,0.99539059,1.02279294,0.7953034,0.92613435,0.85190225,0.83746195,0.95546544,1.13619936,1.23446512,0.96198434,0.82245696,0.69614929,0.69780171,0.75380653,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Germany,DEU,7.80344439,7.65940762,7.55543995,7.71768188,8.50212383,8.39900112,8.12801647,8.18807316,8.40567684,8.48952866,8.60765076,8.68237877,8.80528641,8.88178158,9.09177876,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Kenya,KEN,1.48269117,1.45845628,1.55638492,1.63804531,1.68060637,1.77154577,1.79380906,1.81927824,1.85911059,2.04217196,2.10761213,2.2007997,1.77812445,1.85613954,2.11127639,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Mexico,MEX,2.46497631,2.4219811,2.52675962,2.61655498,2.86067677,2.8809936,2.91415977,3.00721955,3.12253189,2.89231014,2.98734331,2.84779787,2.75801349,2.6718502,2.67891455,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Switzerland,CHE,3.10609841,2.9180789,2.87561703,2.99652123,3.23709249,3.21735024,3.30035758,3.45818734,3.43032265,3.40755963,3.50238085,3.50250411,3.62295127,3.55291438,3.62563658,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,United States,USA,6.62940884,6.80890989,6.9233551,7.25172758,7.87523222,7.94476509,7.92789316,7.90049934,7.94619036,8.23888111,8.45250511,8.55732727,8.51218987,8.47234249,8.52492332,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Venezuela, RB",VEN,2.81432319,4.60071707,4.02177048,2.55314755,2.59487391,2.58674407,3.07865167,2.85448194,2.15607333,1.99139452,1.96749842,1.85235238,2.79058409,3.21141815,2.47110105,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Chad,TCD,41,56,44,30,46,58,52,62,60,58,70,59,59,50,75,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Kenya,KEN,85,92,92,98,99,99,99,97,92,94,87,99,89,95,95,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Mexico,MEX,99,99,99,99,99,98,99,99,91,96,98,99,94,96,76,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,"Venezuela, RB",VEN,95,83,82,90,91,92,95,96,95,97,99,97,94,92,91,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Australia,AUS,92,92,92,92,92,92,92,92,91,92,93,94,95,95,95,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Canada,CAN,93,95,94,92,91,89,87,91,91,91,91,91,91,91,91,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Chad,TCD,25,40,28,19,24,39,33,40,39,36,42,41,41,46,50,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Germany,DEU,96,96,96,96,96,96,95,95,93,93,93,93,93,93,93,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Kenya,KEN,76,80,81,88,88,90,96,94,87,92,89,89,82,92,92,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,93,85,88,82,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Switzerland,CHE,94,94,94,95,95,95,96,96,96,96,96,96,96,96,96,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,United States,USA,96,96,96,96,95,95,96,94,94,95,95,95,95,94,94,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,"Venezuela, RB",VEN,87,71,62,50,84,78,78,81,82,78,87,84,66,60,64,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Australia,AUS,95,95,94,94,94,92,92,91,91,91,93,94,95,95,95,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Canada,CAN,14,14,14,28,42,56,70,70,55,55,69,70,71,71,74,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Chad,TCD,..,..,..,17,24,39,33,40,39,36,42,41,41,46,50,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Germany,DEU,90,87,86,87,88,88,87,87,87,87,87,87,87,87,87,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Kenya,KEN,76,80,81,88,88,90,96,94,93,92,89,89,82,92,92,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Mexico,MEX,98,98,98,97,95,93,98,99,82,84,82,93,58,55,56,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,69,69,69,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,United States,USA,93,93,93,94,92,92,91,90,91,92,92,93,93,91,91,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,"Venezuela, RB",VEN,88,71,62,53,84,78,78,81,82,78,87,84,66,60,64,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Australia,AUS,94,95,94,94,94,92,92,92,91,91,93,94,94,94,95,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Canada,CAN,93,95,93,92,91,90,89,90,91,91,91,91,91,91,91,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Chad,TCD,..,..,..,17,24,39,33,40,39,36,42,41,41,46,50,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Germany,DEU,94,93,94,94,94,93,93,93,92,92,92,92,92,92,92,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Kenya,KEN,76,80,81,88,88,90,96,94,93,92,89,90,82,92,92,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,93,85,88,82,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Switzerland,CHE,93,93,93,95,95,95,95,95,95,95,95,95,95,95,95,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,United States,USA,94,93,93,91,84,90,94,93,93,93,93,93,93,92,91,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,"Venezuela, RB",VEN,87,71,62,51,84,78,78,81,82,78,87,84,66,60,64,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Australia,AUS,94,94,94,94,94,94,94,94,94,94,95,95,95,95,95,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Canada,CAN,94,93,94,93,91,90,88,89,90,90,89,89,90,90,90,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Chad,TCD,27,39,31,27,36,46,54,63,57,45,46,37,37,42,41,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Germany,DEU,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kenya,KEN,69,77,80,90,88,86,87,93,94,95,96,96,89,89,89,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mexico,MEX,96,96,96,96,96,95,98,99,89,97,97,96,76,97,73,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Switzerland,CHE,87,87,87,92,92,92,93,93,93,94,94,94,95,95,95,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,United States,USA,92,92,92,92,90,92,92,91,92,92,92,92,92,92,90,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Venezuela, RB",VEN,76,82,87,93,87,79,86,87,85,89,92,88,96,74,93,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Australia,AUS,92,92,92,92,92,92,92,92,91,92,93,94,95,95,95,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Canada,CAN,93,95,99,96,93,90,87,91,91,91,91,91,91,91,91,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Chad,TCD,37,49,38,30,32,43,40,51,46,44,52,44,44,41,47,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Germany,DEU,95,94,95,95,95,94,94,94,93,93,93,93,93,93,93,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Kenya,KEN,70,77,76,88,89,90,97,94,94,93,83,88,81,92,87,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,96,85,88,82,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Switzerland,CHE,94,94,94,96,96,96,96,96,96,96,96,96,96,96,96,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,United States,USA,92,93,93,94,93,93,94,93,93,93,93,94,94,93,93,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,"Venezuela, RB",VEN,80,73,67,76,75,74,78,73,82,79,87,82,79,53,62,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Australia,AUS,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Chad,TCD,1.38,1.27,1.17,1.13,0.97,0.88,0.8,0.76,0.71,0.66,0.57,0.49,0.47,0.45,0.4,0.34
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Germany,DEU,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Kenya,KEN,4.02,3.84,3.59,3.45,3.27,3.06,2.79,2.54,2.36,2.17,1.96,1.69,1.48,1.29,1.23,1.15
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Mexico,MEX,0.25,0.24,0.23,0.23,0.23,0.24,0.26,0.27,0.29,0.27,0.27,0.27,0.27,0.27,0.27,0.27
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Switzerland,CHE,0.16,0.14,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.08,0.07,0.05,..,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,United States,USA,..,..,..,..,..,0.23,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.2,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,"Venezuela, RB",VEN,0.53,0.47,0.43,0.41,0.39,0.38,0.36,0.34,0.32,0.3,0.27,0.24,0.21,0.18,0.15,0.13
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Chad,TCD,198.921261848455,205.630699574519,210.711861061182,215.098525264906,222.913090220721,225.941213766162,210.483636004928,195.336409273499,179.351243472445,170.274752108924,167.283774054721,169.933606281123,172.301485147748,164.831958202916,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Kenya,KEN,127.308125945037,100.052673323216,78.0197423991887,67.6750623944762,67.9407051983387,67.7103660744612,67.8643447271046,73.3558982496385,82.4837687779605,83.866182364679,72.1657240448546,70.3773547863369,70.0976437295955,70.0976425191424,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Mexico,MEX,1.31999604935459,1.10229073904779,1.01993605635957,1.00309525319324,1.13348351395824,0.506773444575478,0.458175954241103,0.334984664297511,0.196458897821926,0.257052284277883,0.200086536459482,0.210694565533275,0.278231521136334,0.300159536849723,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,"Venezuela, RB",VEN,4.01014752930149,3.251671589661,3.58578370205082,2.71357910561457,2.99261425114543,4.07356667605018,3.70667662886349,4.20751105571757,6.1733224548258,7.03798545629906,10.5703024809731,18.791040160197,32.6340499168778,32.6785823825404,..,..
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Australia,AUS,6,6.5,6.2,6.5,6.8,6.5,6.3,6.6,6.2,6.5,6,6.5,6.7,6.6,6.9,7.3
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Canada,CAN,5.5,5.4,5.3,5.4,5.3,4.6,4.8,5.4,5.3,5.1,5.2,5.5,5.6,5.6,5.9,5.9
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Chad,TCD,151,150,149,149,148,147,147,146,146,145,144,144,143,142,142,144
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Germany,DEU,8,7.3,6.6,5.9,5.9,5.8,5.8,5.7,5.9,6.1,8,8,7.4,7.3,6.4,5.5
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Kenya,KEN,630,646,618,564,566,531,506,471,443,423,380,348,319,292,267,259
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Mexico,MEX,22,21,21,21,21,22,21,22,22,22,22,22,23,23,23,24
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Switzerland,CHE,8,7.3,6.4,7,7.5,7.5,7.6,6,6.6,5.9,7.4,7.9,7.2,6.4,5.4,4.7
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,United States,USA,5.5,5.3,5.1,4.9,4.3,4.2,3.9,3.6,3.3,3.2,3.2,3.1,3.1,3,3,2.4
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,"Venezuela, RB",VEN,32,31,30,29,29,28,27,28,28,27,30,34,45,48,45,47
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Australia,AUS,6.3289375,6.2999625,6.26937009999999,6.2417698,6.2217617,6.21396969999999,6.22299049999999,6.2534447,6.3099384,6.3970699,6.5194602,..,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Canada,CAN,5.969686,6.013186,6.0473971,6.0756211,6.10115189999999,6.12729639999999,6.1573453,6.19460389999999,6.2423706,6.30393839999999,6.3826098,..,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Germany,DEU,6.8575001,6.88853449999999,6.90603069999999,6.91071559999999,6.90330509999999,6.8845406,6.8551364,6.8158288,6.7673411,6.7103896,6.64571049999999,..,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Kenya,KEN,12.24619,12.18654,12.115416,12.043049,11.955961,11.8744049999999,11.7890669999999,11.6989699999999,11.615205,11.538722,11.466808,..,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Mexico,MEX,7.96676249999999,7.9384661,7.8895159,7.86269279999999,7.8812718,7.9263449,7.9596453,7.95157049999999,7.9232655,7.89522079999999,7.8687429,..,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Switzerland,CHE,6.31064799999999,6.3649426,6.41478009999999,6.4586692,6.4951081,6.5226283,6.53972819999999,6.5449324,6.5367451,6.51366659999999,6.47422499999999,..,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,United States,USA,8.15003399999999,8.18139359999999,8.1905003,8.18201919999999,8.1606035,8.13091949999999,8.09761619999999,8.0653591,8.0388079,8.02261449999999,8.0214396,..,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,"Venezuela, RB",VEN,8.75525279999999,8.69211959999999,8.6232872,8.5590696,8.5097713,8.485713,8.49719329999999,8.55453209999999,8.6680393,8.84801479999999,9.10477449999999,..,..,..,..,..
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Australia,AUS,0.00983569333436998,0.00958619076273731,0.00986962594175087,0.00989890962832092,0.0105904455055022,0.0105447627978734,0.0112193872283209,0.0110786596689646,0.01143826119239,0.0119536450606372,0.0122325468098453,0.0123346164679823,0.0122133845321732,..,..,..
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Canada,CAN,0.0165578773158437,0.0168764994384076,0.0173712602182757,0.0183517690895026,0.0186323361070233,0.0177306678198991,0.0177385124122336,0.018187851898849,0.0176028420146647,0.0172353029589476,0.0169381170217059,0.0166052463064275,0.0164384935459747,..,..,..
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Chad,TCD,9.47898337771799,9.47686580965051,9.14443525567926,9.07224692368655,8.76091056889389,8.46311227535441,8.14587617281171,7.84653139916944,7.58320192606087,7.45403844075628,7.22601220951725,7.03878532083891,6.87385851028963,..,..,..
